Technical_terms,Literal meaning,pidgin meaning
rational self-interest,the idea that people make decisions based on reasonable and informed choices that benefit themselves the most,"idey wey be say pesin dey take decision base on wetin go better for dem, dem no dey follow emotion or craze, dem dey use sense"
rationale,reason or explanation for something,Rationale na di reason for sometin
rationale,A set of reasons or a logical basis for a course of action or a belief.,"The real ""why"" / de logic behind de decision"
rationality,the state of having good sense and sound judgment,Di state of having good sense and sound judgment
rattlesnake,pit viper with horny segments at the end of the tail that rattle when shaken,Di pit viper wit horny segments for di end of di tail wey rattle when shaken
raw data,unprocessed original data,di first data
raw data,unprocessed original data,di first numbers
RBAC,"Role-Based Access Control, a security approach that restricts system access to authorized users based on their roles within an organization","RBAC na system wey dey control who fit access certain tin for komputa, based on wetin dem dey do for oganization, e mean say dem go give you access to certain informate or no, depending on your role for work"
RCE,"Remote Code Execution, which refers to the ability of an attacker to execute arbitrary code on a computer or system from a remote location",RCE na him be say bad people fit run dem own code for your komputa or sistem from anoda place wey no be for ya area
RCE,"Remote Code Execution, which refers to the ability of an attacker to execute any instructions or code they want on a compromised machine or system without being physically present","RCE na him be say attacker fit run any kain code wey dem want for kompyuta wey don dey under attack, even if dem no dey dia physical"
re-center,"to recentralize or refocus attention, resources, or power around a new point or group, often in a way that benefits certain individuals or groups at the expense of others","make am center again, put attention or power for some kind of people wey go benefit dem, sotey others no go get"
reach,Stretch out an arm in order to touch or grasp something.,To touch / to arrive / get to a point
reached,Arrived at; stretched out an arm in a specified direction.,Bin reach / touch de target
reaches a value of,arrives at the number,reach di number
reaches line 5 of the script,gets to line five,reach line 5
reaching,Arriving at a destination or goal.,To touch / reach ground
reaction kinetics,study of reaction rates and mechanisms, studying how fast and how chemical reactions dey happen
reaction rate,speed at which a chemical reaction occurs, how fast a chemical reaction dey happen
reaction rate constant,proportionality constant relating reaction rate to reactant concentrations, the number wey connect reaction speed to how much chemical dey there
Reactor ,A container where chemical reactions happen, where chemical things dey mix and react
read,Look at and comprehend the meaning of written or printed matter.,To study book / understand wetin dem write
read data files in from,to import data from,to bring data from
read.ssd(),a function for SAS data,di way to read SAS
read.xport(),a function for SAS transport files,di way to read SAS transport
readability,ease with which text can be read and understood,Readability mean say person fit sabi wetin he dey read.
reader,"a device that can detect and read the information stored on a card, such as a contactless payment card or an identity card","torchlight wey dey shine for card, wey go show wetin dey inside, like ATM card or ID card"
readers,People who read.,Readers
readership,The people who regularly read a particular publication,"Di group of people wey read a particular book, newspaper or publication"
readily,Without hesitation or difficulty; easily.,Easy-easy / sharply
reading,The action or skill of reading written or printed matter.,To study wetin dem write / reading
ready,In a suitable state for an action or situation; fully prepared.,Set / ready
real,Actually existing as a thing or occurring in fact.,True-true / something wey really dey ground
real data sets,actual collections of data,real numbers
real life,actual everyday life,for real life
real number,"a number that can be found on the number line, including all rational and irrational numbers, and excluding imaginary or complex numbers","numba wey dey for number line, including all numba wey sabi divide and numba wey no sabi divide, but no include numba wey be like ghost or complex"
real number,"a number that can be found on the number line, including all rational and irrational numbers","numba wey dey for number line, including all numba wey sabi divide and numba wey no sabi divide, like pi or square root of two"
real number,"a number that can be found on the number line, including all rational and irrational numbers, but excluding imaginary numbers","numba wey dey for number line, including all numba wey sabi divide and numba wey no sabi divide, but no include numba wey be like ghost"
real number,"a number that can be found on the number line, including all rational and irrational numbers, and can be positive, negative, or zero","numba wey dey for number line, wey include all numba wey sabi divide, and numba wey no sabi divide, and fit be positive, negative, or zero, wey dem dey call real numba"
real number,"a number that can be found on the number line, including all rational and irrational numbers","numba wey dey for line, including all numba wey sabi divide and numba wey no sabi divide, like pi or square root of two, wey be say dem no get ending"
real numbers,"numbers that can be found on the number line, including all rational and irrational numbers","numba wey dey for number line, including all numba wey sabi divide and numba wey no sabi divide"
real numbers,"a set of numbers that include all rational and irrational numbers, representing quantities that can be measured or expressed on the number line","numba wey dey real, wey include all numba wey sabi divide and numba wey no sabi divide, wey dey represent wetin dem dey measure or write for number line"
real numbers,"a set of numbers that include all rational and irrational numbers, and can be positive, negative, or zero","numba wey dey include all kind numba, whether na rational or irrational, and fit be positive, negative, or zero, we dey call am real numba"
real numbers,"a set of numbers that includes all rational and irrational numbers, representing quantities that can be measured or expressed on the number line","numba wey dey represent quantify wey dem fit measure, including numba wey sabi divide and numba wey no sabi divide, like pi and square root of two"
real numbers,"a set of numbers that includes all rational and irrational numbers, representing a quantity along a continuous number line","numba wey dey include all kind numba, whether na numba wey you fit divide or numba wey no get part, dem dey represent quantity for line wey no get end, like say from minus infinity to plus infinity, na him be real numba"
real person privilege,a joking term for authority,di power of real person
real world data analysis,working with actual data,for real numbers work
realisation,a musical composition that has been completed or enriched by someone other than the composer,For a musical composition wey dey complete or enriched by someone oda than di composer
realistic,close to real life,Realistic na mata wey wan resemble wetin dey happen for real life
realistic setting,a situation that reflects real life,real situation
realization,coming to understand something clearly and distinctly,Di coming to understand something clearly and distinctly and distinctly
realizing these benefits,achieving these advantages,to get dese good tins
really bugs me,thoroughly annoys me,e dey really vex me
really do need,actually require,truly need
really similar problem,a very alike task,one same kind problem
really useful to know,very helpful information,e dey very good to know
"really, really need",absolutely must,really truly need
realm,"a domain or area of activity, interest, or knowledge, especially one that is distinct from others","kain tori or kain mata wey dey separate from odas, like one papa area wey get im own way of doing things"
reanalyse,to analyze again,to analyze again
rearrangement,changing an arrangement,Di arrangement dey change an arrangement
rearranging,put into a new order or arrangement,Di new order or arrangement wey dey put into new order or arrangement
reason,the power of the mind to think and understand logically,human thinking
reason,"A cause, explanation, or justification for an action or event.",Why something happen / sense behind de tin
reasonable,"Fair, rational, and in accordance with accepted legal and social standards; not arbitrary or excessive.","na somtin wey fair, rational, and follow accepted legal standard"
reasonable,showing reason or sound judgment,Dem show reason or sound judgment
reasonable,Having sound judgment; fair and sensible.,Something wey make sense / fair matter
reasonable person,"a hypothetical person who is considered to have the ability to make sound judgments, based on ordinary wisdom and intelligence, about what a normal person would do or think in a given situation","person wey get sense, wey fit reason like person wey sabi, wey go tok say wetin normal person go think or do for dat kind situation"
reasonably,In a sensible or fair manner.,Normal way / de way person wey get sense suppose act
reasoned,(Of an argument or statement) based on good judgment and logic.,Reasoned / tink well
reasoning,"The action of thinking about something in a logical, sensible way.",How person take reason de mata / logic
reasons,causes or explanations for something,kodoro or kukare wey dey make am happen like dat
reasons,"Causes, explanations, or justifications for an action or event.","Why things happen / de ""why"" behind de mata"
reassurance,the act of reassuring; restoring someone's confidence,Di act of reassuring; restoring someone's confidence; restoring someone's confidence
Rebooted,"To restart a computer or system after it has been shut down or has failed, often to apply updates, fix problems, or start with a clean slate","Ristat, mean say dem shut down komputa before, den put am on again, sotay everytin go fresh, like say dem dey start anew, or dem wan fix wetin no dey work well"
rebuttal,A response that contradicts or refutes an accusation or claim,A strong argument wey person give to fight against an accusation
rebuttal,a response or argument made against an opposing claim, when you argue back against somebody else point
recalculate,calculate anew,Di calculate anew
recall,to remember,to remember
recall,Bring back into one's mind.,Remember / call back
recall that,remember that,remember say
receipt,"A written or documented proof that money, goods, or property has been received.","na written proof say money, goods, or property done receive"
receipt,The action of receiving something; a written acknowledgment.,To collect / paper wey show say person pay money
receipts,Written acknowledgments that specified articles or sums of money have been received.,Receipts / proof of payment
receive,"Be given, presented with, or paid.",To collect / gather / pick
received,"Be given, presented with, or paid.",Wetin enter hand / something wey person collect
receives,"Is given, presented with, or paid.",E collect / e get
receiving,"Be given, presented with, or paid.",To collect / receive
recent,"Having happened, begun, or been done only a short time ago.",Wetin just happen now-now / new-new
recently,At a recent time; not long ago.,No long ago / now-now / just lately
recertification,"the process of renewing or extending a professional or occupational certificate, license, or credential, typically by completing continuing education requirements or passing an examination","proses wey dem dey use renew or extend certificate wey person don get before for work or profession, and e dey involve go school again or pass exam"
recession,period of economic downturn,Recession na bad time for economy wey tings tough for pipu.
recession,A period of temporary economic decline during which trade and industrial activity are reduced.,country dry / market no move
recessions,the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year,Di state of di economy decline; widespread decline for di GDP and employment and trade lasting from six months to a year
recipient,A person who is awarded or receives something.,Person wey collect
recipients,a person who receives something,Di person wey receive something wey dey receive something
reciprocal,something (a term or expression or concept) that has a reciprocal relation to something else,Di term or expression or concept) wey dey reciprocal relation to something
reciprocal,the inverse of a number; a value that when multiplied by the original gives one," opposite of a number; when you multiply both, you get 1"
reciprocity,a relation of mutual dependence or action or influence,Di relation of mutual dependence or action or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence or influence
recirculation,circulation again,Di circulation again again
reclamation,the conversion of wasteland into land suitable for use of habitation or cultivation,Di conversion of wasteland into land suitable for use of habitation or cultivation or cultivation
recognise,to identify or acknowledge,to know
recognised,show approval or appreciation of,Di show approval or appreciation of of approval or appreciation of approval or appreciation of
recognises,identifies,to know
recognition,Identification of someone or something from previous encounters or knowledge.,To sabi person / award
recognize,Identify someone or something from having encountered them before; know again.,To sabi person / agree say something true
recognized,accept (someone) to be what is claimed or accept his power and authority,Dem accept (someone) to be who dey claim or accept hin power and authority and authority
recognized,Identified from having encountered them before; known again.,Sabi am / agree say e valid
recombination,(physics) a combining of charges or transfer of electrons in a gas that results in the neutralization of ions; important for ions arising from the passage of high-energy particles,Di physics) a combining of charge or transfer of electrons for gas wey result for di neutralization of ions; important for ions wey dey arising from di passage of high-energy particles; important for ions wey dey arising from di passage of high-energy particles
recommendation,something (as a course of action) that is recommended as advisable,Di course of action wey dey recommended as advisable as advisable
recommendations,suggestions for action,advice
reconciliation,The restoration of friendly relations.,bring-peace / join-head-again
reconstructed,reassemble mentally,Dem reassemble mentally mentally
reconstruction,the period after the American Civil War when the southern states were reorganized and reintegrated into the Union; 1865-1877,Di period afta di American Civil War wey di southern state dey reorganized and reintegrated into di Union; 1865-1877
record,A thing constituting a piece of evidence about the past.,Evidence wey dem write down / history
record-locking,"a mechanism that prevents multiple users from modifying the same data simultaneously, ensuring data integrity and consistency in a relational database","one kind mechanism wey dey prevent multiple users from change same data at the same time, e dey ensure say data dey intact and e dey consistent for relational database, dem dey call am record-locking, but we fit call am 'data siki' or 'lock data', meaning say only one person fit touch am at a time"
recorded,(Of sound or visual images) set down in permanent form.,Dem don tape am / keep for record
recorded an experience,documented an event,dem write down one thing wey happen
recording,The action or process of recording sound or a performance for subsequent reproduction or broadcast.,Recording / record
recordings,"a signal that encodes something (e.g., picture or sound) that has been recorded","Di signal wey dey encodes something (e.g., picture or sound) wey dey record"
records,Things constituting a piece of evidence about the past.,Official papers / files / history
recoupment,The legal right to recover or deduct money owed to a defendant from a claim brought by the plaintiff.,na legal right to get back money wey defendant owe from claim
recourse,"A legal right to seek recovery or compensation, especially the right to pursue legal action against a person responsible for loss.",na legal right to look for recovery or compensation against responsible persin
recourse,A source of help in a difficult situation.,Way out / to go meet person for help
recover,"To obtain money, property, or relief through a legal action or court judgment.","na obtain money, property, or relief from court judgment"
recover,"Return to a normal state of health, mind, or strength; regain possession.",To get back wetin loss / to well again
recovery,the process of returning to a normal state after a problem or difficulty,"how dem go take come back to normal afta sometin don happen, like if dem don suffer sometin, dem go find way to recover, make dem fit come back to wetin dem dey do before"
recovery,"the act or process of regaining something (such as health, strength, or a previous state) that has been lost","di tin wey dey happen when person or tin dey come back to im former state, like when person sabi heal from sickness or when system dey work well again after e don spoil"
recovery,"A return to a normal state of health, mind, or strength.",To get back wetin loss / to well again
recreation,an activity that diverts or amuses or stimulates,Di activity wey divert or amuses or stimulate or stimulate
recruitment,the act of getting recruits; enlisting people for the army (or for a job or a cause etc.),Di act of getting recruits; enlisting pipo for di army (or for job or cause etc.)
rectangles,a parallelogram with four right angles,Di parallelogram wit four right angles wit four right angles
rectangular,having four right angles,Di right angles dey having four right angles
rectangular shape,four‑sided form,shape like rectangle
recurrence,happening again (especially at regular intervals),For regular intervals)
recurring columnists,writers who regularly contribute articles or essays to a publication on a specific subject or area of expertise,"pipo wey dey write tori wey dey come out regular for newspaper or magazin, dem get him own area wey dem dey specialize"
recurring sources,"sources that are used or consulted repeatedly over time, providing consistent or ongoing information","oricia wey dem dey use again and again, wey dey give tori wey dey consistent, or wey dey come always"
recursive indexing,a programming technique,one way to find things inside things
recycling rule,the pattern of reusing values,di way wey e dey repeat
red,Of a color at the end of the spectrum next to orange.,Red color / color of blood
rediscover,discover again,We dey discover again again
redistribute,distribute anew,Di new distribute anew
redistribution,distributing again,Di distributing again again
redrawing,a new version of a picture,one new drawing
redress,Remedy or set right (an undesirable or unfair situation).,To settle mata / fix wrong
reduce,"Make smaller or less in amount, degree, or size.",To cut am down / make e small
reduced,Made smaller or less.,Dem don cut am down
reductions,the act of decreasing or reducing something,Di act of decreasing or reduce something
redundancy,the state of being no longer needed or useful because something else is doing the same job,"when sometin dey repeat or dey duplicate, like when you get informate wey be say same tin for different place, e no get sense again, e just dey waste space"
redundancy,duplication of components or functions to improve reliability or prevent failure," having extra copies of parts so if one fail, another go take over"
Redundancy ,Backup systems in case one fails, extra systems wey dey standby if the main one fail
reed,"A tall, slender-leaved plant of the grass family; a name.",Reed (Plant) / Reed (Proper Name)
refer,Mention or allude to.,Point to
refer to,to indicate,to talk about
refer to,to call,to talk about
refer to it as,to call it,to talk about am as
referee,"A neutral person appointed by a court to hear evidence, make findings, and report back to the judge for a final decision.",na neutral persin wey court appoint to hear evidence and report back to judge
reference,The action of mentioning or alluding to something.,Citation / to point to where info dey
Reference citation,"A notation or credit given to the original author or creator of a work, idea, or research, typically including the author's name, year of publication, and other relevant details","Akowe wey dem dey use give credit to pesin wey write book or do research, e dey include name of pesin, year wey dem publish am, and other tinz wey important"
references,cited sources,di books and papers wey dem use
references,a remark that calls attention to something or someone,Di remark wey call attention to something or someone
References,sources used to support information or claims,places or people wey dem use back up wetin dem talk
referendum,A general vote by the electorate on a single political question that has been referred to them for a direct decision.,People vote on special mata
referred,Mentioned or alluded to.,Bin talk about / bin point to
referred to as,called,dem dey call
refers,Mentions or alludes to.,Point to / talk about
refinancing,renew the financing of,Di financing wey dey renew di financing of di financing of
refinement,"the process of making something more subtle, precise, or detailed, especially a theory, method, or system","di proses to dey make sometin beta, sharp or detale, espeshali one teori, metod or sistem"
refinement,"the process of making something more subtle or precise, in this context, a partition that is more detailed or divided into smaller parts","to dey break am down well well, make am fine, like when p2 dey divide [a; b] into smaller smaller parts pass p1"
refinement,"the process of making something more subtle, precise, or accurate","di proses to dey make sometin beta, sharp or korrek, like wen you dey chacha sometin wey bin no korrek before"
refinement,a highly developed state of perfection; having a flawless or impeccable quality,Di highly develop state of perfection; having flawless or impeccable quality; having flawless or impeccable quality; having flawless or impeccable quality; having flawless or impeccable quality
refiner,a plant or facility where crude oil is processed and purified into various petroleum products,"plesen wey dem dey refine crude oil, make am pure, den e go become different kinds of petroleum product"
refineries,facilities that process raw materials,Refineries na where dem dey process tings so tey e go dey useful.
reflect,to show or represent,to show
reflect,"(Of a surface or body) throw back (heat, light, or sound) without absorbing it.",To show back / tink about something
reflection,thinking deeply about something,Reflection na to reason mata wella
reflection,"a calm, lengthy, intent consideration","Di calm, lengthy, intent consideration"
reflective practitioner,a professional who thinks about their work,person wey dey think about wetin dem do
reflects,"Throws back light, heat, or sound; shows or expresses something clearly.",E show back
reflexivity,the coreferential relation between a reflexive pronoun and its antecedent,Di coreferential relation between reflexive pronoun and its antecedent
reform,"Make changes in (something, typically a social, political, or economic institution or practice) in order to improve it.",To change for beta
refractory,lining consisting of material with a high melting point; used to line the inside walls of a furnace,Di lining wey dey consist of material wit high melting point; use to line di inside walls of furnace
refrain,Stop oneself from doing something.,Hold body / stop self
reframing,Changing the way one perceives a situation in order to see it differently,When you change di way you see or think about a situation to get new understanding
refrigerant,any substance used to provide cooling (as in a refrigerator),Di substance wey dey use to provide cooling (as for refrigerator)
refrigeration,"the process of cooling or freezing (e.g., food) for preservative purposes","Di process of cooling or freezing (e.g., food) for preservative purposes"
refrigerator,white goods in which food can be stored at low temperatures,Di white goods wey food dey store for low temperatures
refugee,"A person forced to leave their country due to war, persecution, or disaster","Person wey don force run from their country because of war, danger or persecution"
refugee camp,A temporary settlement built to receive and house refugees,Temporary place wey dem build to house people wey run from their country
refugee ceiling,The maximum number of refugees a country agrees to accept per year,Di highest number of refugees wey one country set as limit to accept per year
Refugee crisis,"A situation where a large number of people are forced to leave their homes and country due to war, violence, or natural disasters, and are in need of humanitarian assistance","Wahala wey dey happen when boku people dey run comot from dia kontri because of fight, war or disaster, and dem need help from anoda place"
refurbished,make brighter and prettier,E make brighter and prettier
refusal,An act of moving back or showing unwillingness to accept something.,To say no / rejection
refuse,Indicate or show that one is not willing to do something.,To no gree / to reject
refused,Indicated that one is not willing to do something.,Bin no gree / reject
refuses,Indicates or shows that one is not willing to do something.,E no gree / e reject
refusing,Indicating unwillingness to do something.,"To say ""No"" / reject"
regard,Consideration or attention.,To look / respect / concern
regarded,Considered or thought of in a specified way.,See am as / tink say
regarding,With respect to; concerning.,About / wetin concern
regarding matrices,about grids,about tables
regardless,(usually followed by `of') without due thought or consideration,Di usually follow by `of') without due thought or consideration or consideration
regardless,Without paying attention to the present situation; anyway.,No matter wetin happen / anyhow
regardless of sample size,no matter the group size,no matter how many pipo
regenerating,"reestablish on a new, usually improved, basis or make new or like new","Di new, usually improve, basis or make new or like new or like new or like new or like new or like new or like new"
regeneration,(biology) growth anew of lost tissue or destroyed parts or organs,Di growth anew of lost tissue or destroy parts or organs
regional attitudes,the feelings and opinions that people in a particular area or region have about something,imotions and opinions wey pipo for one area get towards sometin
regional crime,"crime that occurs within a specific geographic area, such as a city, state, or country, and is often tracked and analyzed to understand trends and patterns","crime wey dey happen for one particular area, like inside one state or obodo, wey dem dey track am to sabi wetin dey happen and how e dey take increase or reduce"
register,An official list or record of names or items.,List / sign in
registered,recorded or indicated,show
registered,"officially recorded as taking part in something, especially a class or course","don enter record, wey dem go count dem as pesin wey go dey attend class"
registered,record in writing; enter into a book of names or events or transactions,E enter into book of names or events or transaction or transaction
registered,Entered or recorded on an official list or directory.,Recorded / official
registration,The action or process of registering or of being registered.,To put name for list / official record
regression,a statistical method for modeling relationships between variables,one kind of statistical calculation
regression,an abnormal state in which development has stopped prematurely,Di abnormal state wey development don stop prematurely
regression,a statistical method used to model and analyze relationships between variables, math method wey study how different things affect each other
regressive,(of taxes) adjusted so that the rate decreases as the amount of income increases,Di rate decrease as di amount of income decrease so say di rate decrease as di amount of income decrease as di amount of income increase
regular,Done or happening at frequent intervals.,Normal-normal / steady
regular lwd parameter,the usual line width setting,di normal way to change thickness
regularity,a property of polygons: the property of having equal sides and equal angles,Di property of having equal sides and equal angles
regularization,the condition of having been made regular (or more regular),Di condition of having been regular (or more regular)
regularly,At uniform intervals.,Steady / every time
regulate,Control or maintain the rate or speed of a machine or process so that it operates properly.,To control how things dey go for inside law
regulated,Controlled or maintained a rate or process so that it operates properly.,Something wey under control / rules
regulating,the act of controlling or directing according to rule,Di act of controlling or directing according to rule
regulating,Controlling or maintaining the rate or speed of a machine or process.,To check and control
regulation,A rule issued by a government agency or regulatory body that has the force of law.,na rule wey government agency issue wey get force of law
regulation,an authoritative rule,Na authoritative rule wey dey authoritative rule
regulation,A rule or directive made and maintained by an authority.,guide-rules
regulations,Rules or directives made and maintained by an authority.,Rules of de land
regulations,Rules to protect, guidelines wey dey keep things safe
regulators,"people or organizations that have the power to control or supervise something, especially in order to prevent it from being unfair or illegal","pipo wey dey kontrol or supervise tin, especially to prevent am from bein unfair or against law, dem dey call dem regulators, but for pidgin, we fit call dem 'tori pipo' or 'pipo wey dey check mate', but regulator no get direct translation for pidgin, so we go use 'pipo wey dey kontrol' or 'authority pipo'"
regulatory,restricting according to rules or principles,For rules or principles wey dey suppose restrict according to rules or principles
regulatory,Serving or intended to regulate something.,Concern de rules and control
regulatory burden,The costs and efforts required to comply with government regulations,Di difficulty and cost wey businesses and people face from following government rules
rehabilitation,the restoration of someone to a useful place in society,Di restoration of someone to useful place for society
rehabilitation,The action of restoring someone to health or normal life through training or therapy.,fix-person-back / make-am-beta-again
reincarnation,The belief that a soul is reborn in a new body after death,"Di belief that after a person die, their soul come back to life in a new body"
reinforce,make something stronger,Reinforce na to make sometin strong well well
reinforced,make stronger,We make stronger
reinforcement,strengthening effect or support,Reinforcement na to make something tough pass how e be.
reinforcement,a military operation (often involving new supplies of men and materiel) to strengthen a military force or aid in the performance of its mission,Di military operation (often involvin new supplies of men and materiel) to strengthen military force or aid for di performance of dia mission
reintegration,The process of integrating someone back into society.,join-body-back
reject,"Dismiss as inadequate, inappropriate, or not to one's taste.",To no gree / say no / throwey
reject the null?,should we discard the idea?,we go throw di null away?
rejected,"Dismissed as inadequate, inappropriate, or not to one's taste.",dem no gree / dem fall-am
rejection,"The dismissing or refusing of a proposal, idea, etc.",Dem no gree / bounce
relapse,A return to substance use after a period of abstinence,When person wey stop using drugs or alcohol go back to using dem again
related,"Belonging to the same family, group, or type; connected.",Something wey follow / e get connection
relates,Makes or shows a connection between.,Get connection / concern
relating,Making or showing a connection between.,Concern / how things link body
relation,"a connection or association between two or more things, especially one that is based on a particular similarity or difference","kontri butu, wey dey show say two or more tin get link, either dem resemble or dem difren, and dat link fit base on sometin wey dem share or sometin wey dem no share"
relation,a connection or association between two or more things,kontri butu or asosieshon wey dey between two or more tin
relation,"a set of ordered pairs of elements from two or more sets, where each pair satisfies certain properties or conditions","one kind set wey dey connect two or more set, wey each pair dey follow some rule or condition, we go fit call am 'konkesion' or 'rekolesion', but make we no forget say for math, dem dey use am differently, so we go use 'rekolesion' take describe am, wey be say set of pairs wey dey satisfy some condition"
relation,"a connection or association between two or more things, especially a mathematical relationship between sets","somtin wey connect or join two or more tinz, especially for math, like set wey dey relate to anoda set"
relation,a connection or association between two or more things,kontri butu or asosiasi wey dey between two or more tins
relation,"a connection or association between two or more things, especially a logical or causal one","kontri butu or asosiasi wey dey between two or more tins, espeshili wan wey get logical or kasu"
relation,"The way in which two or more concepts, objects, or people are connected.",Connection / family / how things link
relational,having a relation or being related,Dem having relation or being related
Relational Database,A type of database that organizes and stores data in a way that shows the relationships between different pieces of data,"Database wey dey show as data dey relate to each odah, like one big family wey all dey connect, dem dey store am for one place"
relational database,"a database that organizes data into one or more tables, with each table having rows and columns, and the tables are related to each other through common fields or columns","database wey dey relate, wey dem arrange data into table, with rows and columns, and dem connect all di tables together through one or more field wey dem get in common, so dat you fit follow di connection from one table to anoda"
Relational Model,"A database organization method where each table is linked to others through predetermined keys, allowing for efficient data storage and retrieval","Dem dey use one kind method wey dem dey call relational model, where dem dey link each table to anoda one through some keys wey dem don already set, so dat dem fit store and bring out data well well"
relations,"The legal connections or associations between parties that define their rights, duties, and obligations toward each other.",na legal connections between parties wey define dem rights and duties
relations,"The way in which two or more concepts, objects, or people are connected.",How people follow deirselves / family
relationship,The legal status or connection between two or more parties that establishes their respective rights and duties under the law.,na legal status between parties wey establish dem rights and duties under law
relationship,"a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)",Di preferred usage of `relationship' na for human relations or states of relatedness)
relationship,"The way in which two or more concepts, objects, or people are connected.",How people take follow deirselves / connection
relationship between,connection among,how two things dey related
relationships,"The way in which two or more concepts, objects, or people are connected.",How people follow deirselves / connections
relative,Considered in relation or in proportion to something else.,Connection / family person
relative differences,"the differences in quantity or amount when compared to a standard or reference point, especially when considering changes over time","difrens wey dey relate, wey be say if you compare somtin wit anoda tin, you go see say dem get somtin wey dem share, espeshali wen you dey tok about how tin don change from one time to anoda"
relative path,the directory path from the current location,di address from where you dey
relative path,path from current location,di address from here
relative position,"the location or ranking of something in comparison to others, based on a specific characteristic or value","how dem take dey rank or place sometin for among odas, based on wetin make am special or im value"
relatively,"In relation, comparison, or proportion to something else.",If you look am side-by-side with oda things
relatively prime,two numbers that have no common positive divisors other than 1,"dem be numbers wey no get common divider apart from one, dem no dey share divider except one"
relatively prime,having no common factors other than 1,"dem no get any factor wey dem share, apart from one"
relativistic,relating or subject to the special or the general theory of relativity,Di special or di general theory of relativity wey dey subject to di special or di general theory of relativity
relativity,(physics) the theory that space and time are relative concepts rather than absolute concepts,Di theory say space and time dey relative concepts rather than absolute concepts.
relaxation,(physiology) the gradual lengthening of inactive muscle or muscle fibers,Di gradual lengthening of inactive muscle or muscle fibers
release,Allow or enable to escape from confinement; set free.,To let go / allow person or tin comot
relentlessly,in a relentless manner,Di relentless manner wey dey relentless manner for di relentless manner
relevance,importance or connection,how e dey matter
Relevance,how closely something relates to the topic,how much something concern the matter wey you dey talk
relevant,Closely connected or appropriate to what is being done or considered.,Wetin concern de mata / e follow
relevant elements,the related parts,di things wey dey matter
reliability,consistency of measurement,how reliable something be
reliability,the quality of being dependable or reliable,Di quality of being dependable or reliable or reliable
Reliability,how dependable or consistent something is,how much you fit trust something to always work
reliance,Dependence on or trust in someone or something.,To put mind for person hand / depend on something
relied,Depended on with full trust or confidence.,Bin put mind for dere / trust
relief,A feeling of reassurance and relaxation following release from anxiety or distress; legal remedy.,Better feeling / wetin person get from kote
relies,Depends on with full trust or confidence.,E lean on / trust
relies on one of five distributions,depends on a specific mathematical function,dey depend on one of five kinds
"relies on simplifications, approximations and assumptions",depends on making things easier,"e dey depend on making tins simple, guessing, and taking for true"
relies very heavily on,depends a great deal on,e dey depend plenty on
religion,The belief in and worship of a superhuman controlling power.,How person take follow God / church or mosque mata
religious,Relating to or believing in a religion.,Matter of church or mosque / person wey follow God
religiously,by religion,Di religion by religion by religion
relocation,"Moving from one place to another, especially to a new country or community",Di act of moving from one place go another to start life afresh
reluctance,(physics) opposition to magnetic flux (analogous to electric resistance),Di physics) opposition to magnetic flux (analogous to electric resistance)
reluctantly,with reluctance,Dem dey dey dey reluctance wit reluctance wit reluctance wit reluctance wit reluctance wit reluctance
rely,Depend on with full trust or confidence.,To put mind for person hand / trust
rely on memory,to depend on recall,to remember
relying,Depending on with full trust or confidence.,To lean on / trust person
remain,"Continue to exist, especially after other similar or related people or things have ceased to exist.",To still dey ground / stay put
remainderman,A person who receives property after the current holder's interest in that property ends.,na persin wey fit get property afta di holder interest done end
remaindermen,Plural of remainderman; multiple persons who have rights to property after another's interest ends.,na persin dem wey get property afta anoda interest end
remainders,something left after other parts have been taken away,Di parts don take away afta oda parts don take away
remaining,"Still existing, present, or in use.",De one wey remain / balance
remains,Continues to possess a particular quality or be in a particular state.,E still dey / e never comot
remand,To send a case back to a lower court for further proceedings or a new trial.,na wen court send case back to lower court for more proceeding
remand,Place (a defendant) on bail or in custody.,To send back to prison or lower court
remanded,Placed on bail or in custody.,To send person back to prison or lower court
remarkable,unusual or striking,Di unusual or striking or striking
remediation,fixing or correcting a problem,Remediation na to solve problem.
remediation,The act of correcting or fixing something that is wrong or deficient,Di process of fixing or correcting something wey wrong — bringing am back to the right state
remedies,"Legal solutions or relief provided by a court, such as damages, injunctions, or specific performance.","na legal solution like damages, injunction, or performance wey court provide"
remedies,Means of legal reparation; treatments for diseases.,Way to fix problem / medicine / solution
remedy,A means of legal reparation.,Way to settle de damage / solution
remember,Have in or be able to bring to one's mind an awareness of.,To tink back / no forget
reminded of,caused to remember,to remember
remittance,a payment of money sent to a person in another place,Di payment of money wey dey send to a person for one place wey dey another place
remittance,Money sent by a migrant worker back to their family in their home country,Money wey person wey dey abroad send go their family for their home country
remittance agency,A business that transfers money internationally for individuals,A business wey help people send money to other countries
